Name,User_Score,Critic_Score,Normalized_User_Score,Normalized_Critic_Score
Guitar Hero: World Tour,7.6,86.0,0.7802197802197802,0.8588235294117647
FIFA Soccer 10,7.6,91.0,0.7802197802197802,0.9176470588235294
Star Wars: Battlefront,8.7,82.0,0.901098901098901,0.8117647058823529
The Simpsons: Road Rage,7.7,64.0,0.7912087912087913,0.6
Luigi's Mansion,8.5,78.0,0.8791208791208791,0.7647058823529411
Battlefield 4,6.9,85.0,0.7032967032967034,0.8470588235294118
Star Wars: Battlefront II,9.0,84.0,0.9340659340659341,0.8352941176470589
Cooking Mama 2: Dinner With Friends,8.0,70.0,0.8241758241758242,0.6705882352941176
Grand Theft Auto: Liberty City Stories,7.8,78.0,0.8021978021978022,0.7647058823529411
The Getaway,6.8,72.0,0.6923076923076923,0.6941176470588235
James Bond 007: Agent Under Fire,7.9,72.0,0.8131868131868133,0.6941176470588235
FIFA Soccer 11,7.5,88.0,0.7692307692307693,0.8823529411764706
Left 4 Dead,7.9,89.0,0.8131868131868133,0.8941176470588236
Assassin's Creed: Unity,4.1,72.0,0.3956043956043956,0.6941176470588235
Resident Evil 5,7.5,83.0,0.7692307692307693,0.8235294117647058
Assassin's Creed: Brotherhood,8.3,89.0,0.8571428571428572,0.8941176470588236
FIFA Soccer 2004,6.4,84.0,0.6483516483516484,0.8352941176470589
Battlefield 4,5.8,80.0,0.5824175824175825,0.788235294117647
Batman: Arkham Asylum,8.7,92.0,0.901098901098901,0.9294117647058824
Battlefield 4,5.6,79.0,0.5604395604395604,0.7764705882352941
Battlefield: Bad Company 2,8.6,88.0,0.8901098901098901,0.8823529411764706
Guitar Hero: On Tour,8.8,71.0,0.9120879120879122,0.6823529411764706
Clubhouse Games,8.4,83.0,0.8681318681318682,0.8235294117647058
Borderlands,8.2,84.0,0.8461538461538461,0.8352941176470589
Tekken 4,8.3,79.0,0.8571428571428572,0.7764705882352941
Grand Theft Auto 2,8.0,70.0,0.8241758241758242,0.6705882352941176
Metal Gear Solid V: The Phantom Pain,8.2,93.0,0.8461538461538461,0.9411764705882353
Spider-Man 2,8.9,80.0,0.9230769230769231,0.788235294117647
FIFA Soccer 2003,6.7,88.0,0.6813186813186813,0.8823529411764706
LittleBigPlanet 2,8.4,91.0,0.8681318681318682,0.9176470588235294
Crash Bash,8.2,68.0,0.8461538461538461,0.6470588235294118
Assassin's Creed Syndicate,6.8,76.0,0.6923076923076923,0.7411764705882353
LEGO Batman: The Videogame,7.9,76.0,0.8131868131868133,0.7411764705882353
Destiny,5.5,75.0,0.5494505494505495,0.7294117647058823
Far Cry 3,8.5,90.0,0.8791208791208791,0.9058823529411765
James Bond 007: Nightfire,8.5,77.0,0.8791208791208791,0.7529411764705882
Star Wars Episode III: Revenge of the Sith,7.2,60.0,0.7362637362637363,0.5529411764705883
The Legend of Zelda: Spirit Tracks,7.8,87.0,0.8021978021978022,0.8705882352941177
Max Payne,8.5,80.0,0.8791208791208791,0.788235294117647
Assassin's Creed IV: Black Flag,7.9,86.0,0.8131868131868133,0.8588235294117647
The Lord of the Rings: The Return of the King,8.7,85.0,0.901098901098901,0.8470588235294118
