,release_year,genre
355,2018,"Action,Adventure,Indie,Simulation"
356,2016,"Simulation,Strategy"
357,2018,"Action,Casual,Indie"
358,2016,Action
359,nan,"Massively Multiplayer,RPG"
360,2018,Action
361,2019,Action
362,2015,"Action,Indie,Strategy,Early Access"
363,2011,"Action,Adventure,Indie,RPG"
364,2019,"Casual,Indie,Simulation"
365,2015,"Indie,Simulation"
366,2019,Action
367,2016,"Simulation,Strategy"
368,2018,"Action,Adventure,RPG"
369,2019,"Action,Adventure,Indie"
370,2015,"Action,Free to Play"
371,2018,"Indie,Simulation,Strategy"
372,2016,"Indie,RPG,Simulation"
373,2017,"Action,Adventure,Indie,Massively Multiplayer,RPG"
374,2015,"Action,RPG"
375,2018,"Action,Early Access"
376,2019,RPG
377,2013,"Action,Simulation,Strategy"
378,2018,Action
379,nan,"Indie,Simulation"
380,2019,"Action,Adventure"
381,2019,"Casual,Indie,Simulation,Early Access"
382,2020,RPG
383,nan,"Action,RPG"
384,2017,"Adventure,RPG,Strategy"
385,2019,"Action,Indie,Early Access"
386,2007,"Action,Free to Play"
387,2018,"Indie,Simulation"
388,2019,"Action,Adventure,Indie"
389,2019,Indie
390,2013,"Action,Free to Play,Massively Multiplayer,Simulation"
391,2016,Action
392,2015,"Action,RPG"
393,2014,"Action,RPG"
394,2019,"Action,Massively Multiplayer"
395,2015,"Simulation,Strategy"
396,2016,"Simulation,Strategy"
397,2016,"Indie,Simulation"
398,2016,Strategy
399,2018,Action
400,2017,"Action,Strategy"
401,2019,"Action,Indie,Simulation,Strategy,Early Access"
402,2017,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy"
403,nan,RPG
404,2016,RPG
405,2015,RPG
406,2018,"Action,Adventure,Indie,Massively Multiplayer,RPG"
407,2015,"Action,Adventure"
408,2013,"Action,Free to Play"
409,2019,"Action,Indie"
410,2015,RPG
411,2019,"Action,Strategy"
412,2015,"Action,Indie,Racing,Sports"
413,2014,"Massively Multiplayer,RPG"
414,2012,"Action,RPG"
415,2016,Action
416,2015,Action
417,nan,RPG
418,2013,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG"
419,2013,"Action,Free to Play,Strategy"
420,nan,Action
421,2014,"Massively Multiplayer,RPG"
422,2012,"Action,Free to Play"
423,nan,"Action,RPG"
424,2007,"Action,RPG"
425,nan,"Indie,Simulation,Action,Strategy"
426,2016,"Action,Indie,Simulation,Early Access"
427,2009,Strategy
428,2012,"Action,Indie"
429,2017,"Action,Indie,Strategy"
430,2016,Utilities
431,2017,"Indie,Simulation,Strategy"
432,2015,"Action,Indie,Simulation"
433,2018,"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation,Strategy"
434,2017,"Action,Indie,RPG"
435,2017,"Action,Adventure,Casual,RPG"
436,2019,"Action,Indie"
437,2019,"Simulation,Strategy"
438,2013,Adventure
439,2018,RPG
440,2019,"Indie,Strategy"
441,2018,"Action,Adventure"
442,2018,"Adventure,Indie,Strategy,Early Access"
443,2017,"Action,Adventure,Indie,Strategy"
444,2018,Action
445,2011,"Adventure,Casual,Free to Play,Massively Multiplayer,Strategy"
446,2019,"Action,Adventure,Indie,Early Access"
447,2018,"Action,Casual"
448,2018,"Action,Free to Play,Massively Multiplayer,RPG"
449,nan,"Indie,Simulation,Strategy,RPG"
450,2017,Simulation
451,2018,"Action,Casual"
452,2019,Strategy
453,2018,"Casual,Simulation,Sports"
454,2018,Action
455,2017,"Action,Indie,Massively Multiplayer,RPG,Strategy,Early Access"
456,2016,"Casual,Indie,Strategy"
457,2016,"Casual,Indie"
458,2016,"Indie,Simulation,Strategy"
459,2014,"Action,Adventure"
460,2018,"Action,Indie,Racing"
461,2016,"Action,Adventure,RPG"
462,2011,"Adventure,Strategy"
463,2014,Action
464,2018,"Action,Adventure"
465,2016,"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation,Early Access"
466,nan,"Sexual Content,Nudity,Casual,Indie"
467,2012,"Action,Adventure"
468,2017,"Action,Adventure,Casual,Indie"
469,2019,"Indie,Strategy,Early Access"
470,2016,"Adventure,Casual,Indie"
471,2017,RPG
472,2018,"Indie,Massively Multiplayer,Simulation"
473,2014,"Action,Indie,Strategy"
474,2018,Strategy
475,2018,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
476,2018,"Action,Indie"
477,2019,"Action,Indie,Early Access"
478,2016,"Animation & Modeling,Design & Illustration,Game Development"
479,2019,"Adventure,Indie"
